CENTRO_CUSTO_DSC;JANEIRO;FEVEREIRO;MARCO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;
ADMINISTRATIVO/FINANCEIRO;203.815,62;217.443,80;227.819,63;169.551,25;186.001,14;169.982,89;189.567,10;174.959,21;179.790,97;185.478,77;194.319,82;267.758,92;
CAPTAÇÃO DE CONTRATOS;54.720,89;68.192,24;48.763,98;56.156,60;52.619,80;66.705,63;56.105,46;64.428,30;45.925,25;77.393,64;57.924,30;52.413,70;
COMERCIAL;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
COMPLIANCE;7.890,15;4.292,67;4.318,77;2.359,88;2.330,78;3.840,20;3.949,65;5.137,45;3.946,89;6.203,29;3.642,76;5.463,24;
COMUNICAÇÃO/MARKETING;10.788,73;15.898,59;15.588,59;10.608,68;63.708,49;63.712,52;12.802,43;12.389,00;49.654,57;11.762,73;12.098,14;11.542,38;
JURIDICO;40.935,01;38.541,22;38.058,96;37.842,95;37.549,90;37.096,66;38.564,22;42.057,13;35.798,05;40.679,57;48.015,09;47.880,49;
SAI;83.760,19;131.210,52;87.101,63;78.860,13;96.301,49;85.751,64;89.174,22;85.403,01;71.082,30;64.988,74;66.201,59;99.331,60;
SEJ;183.339,89;190.117,22;232.866,54;163.053,78;153.012,63;147.729,52;178.441,86;171.069,63;187.907,43;131.305,50;116.131,29;78.996,38;
SIAM;45.570,50;38.549,20;34.921,25;34.455,07;40.027,39;36.187,63;35.007,48;35.492,46;33.037,08;33.931,34;33.299,03;30.781,32;
SIGAD/SISGED;12.021,00;9.863,09;11.141,57;12.213,70;14.548,88;13.921,74;11.904,98;15.754,52;20.555,13;12.912,71;12.710,59;21.663,39;
SIGEM;20.700,22;16.823,66;41.036,47;28.607,10;28.464,29;26.777,15;27.680,02;21.345,47;31.236,05;28.856,70;28.050,12;46.583,26;
SOS;45.665,14;31.696,39;45.528,42;31.519,62;29.277,36;30.611,76;30.693,85;30.013,55;28.546,39;28.956,75;27.858,26;37.623,68;
SUCURSAL AL;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
SUCURSAL CE;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
SUCURSAL MG;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
SUCURSAL PB;6.865,09;6.370,00;6.473,42;6.370,00;6.370,00;6.370,00;6.370,00;6.611,98;6.370,00;6.370,00;6.370,00;6.370,00;
SUCURSAL SE;24.514,10;17.606,68;123.903,20;24.003,66;23.648,42;34.658,37;29.103,22;21.324,66;19.768,95;22.394,78;20.308,67;19.923,98;
TECNOLOGIA DA INFORMAÇÃO;87.612,76;86.588,71;86.570,37;109.609,69;85.806,38;109.725,77;94.284,22;102.387,68;92.283,63;98.344,32;96.315,40;132.341,59;
